INSTNM,CITY,STABBR,ZIP,CONTROL,LATITUDE,LONGITUDE,ADM_RATE,SAT_AVG_ALL,COSTT4_A,RET_FT4,DEBT_MDN,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,AccredAgency
Universal Technical Institute of Arizona Inc,Avondale,AZ,85323,3,33.4535,-112.2897,NULL,NULL,NULL,NULL,14094,2337,0.5019,0.0282,0.2383,0.0227,0.0526,0.0398,Accrediting Commission of Career Schools and Colleges
Western International University,Tempe,AZ,85282,3,33.6007,-112.1184,NULL,NULL,26118,0.1786,20000,1369,0.4894,0.1534,0.1512,0.0044,0.0205,0.0051,North Central Association of Colleges and Schools The Higher Learning Commission
Empire Beauty School-NW Phoenix,Glendale,AZ,85051,3,33.5381,-112.1182,NULL,NULL,NULL,NULL,6406,172,0.2791,0.2151,0.3895,0.0116,0.0465,0.0116,NULL
Yavapai College,Prescott,AZ,86301,1,34.5475,-112.4542,NULL,NULL,12610,NULL,5513,6072,0.656,0.011,0.1178,0.0105,0.0305,0.0021,North Central Association of Colleges and Schools The Higher Learning Commission
University of Arkansas at Little Rock,Little Rock,AR,72204,1,34.7266,-92.3418,0.5274,1077,19894,0.6973,14250,8504,0.5514,0.2656,0.0623,0.023,0.0033,0.0004,North Central Association of Colleges and Schools The Higher Learning Commission
University of Arkansas for Medical Sciences,Little Rock,AR,72205-7199,1,34.7497,-92.3209,NULL,NULL,NULL,NULL,12500,755,0.7589,0.1325,0.0397,0.0305,0.004,0,North Central Association of Colleges and Schools The Higher Learning Commission
ABC Beauty College Inc,Arkadelphia,AR,71923,3,34.1223,-93.0816,NULL,NULL,NULL,NULL,9545,32,0.625,0.3438,0,0,0,0,National Accrediting Commission of Career Arts and Sciences
Arkansas Baptist College,Little Rock,AR,72202-6068,2,34.7348,-92.2906,NULL,NULL,20024,0.3945,9500,1022,0.0656,0.9247,0.0049,0,0.002,0,North Central Association of Colleges and Schools The Higher Learning Commission
Arkansas Beauty School,Little Rock,AR,72209,3,34.6691,-92.3348,NULL,NULL,NULL,NULL,6333,37,0.0541,0.9459,0,0,0,0,National Accrediting Commission of Career Arts and Sciences
Arkansas Beauty College,Russellville,AR,72801,3,35.2786,-93.1352,NULL,NULL,NULL,NULL,5500,46,0.913,0.0217,0.0435,0,0,0,Accrediting Commission of Career Schools and Colleges
Lyon College,Batesville,AR,72501,2,35.7789,-91.6281,0.5898,1142,33355,0.6981,12000,570,0.7737,0.0421,0.0509,0.0123,0.0193,0,North Central Association of Colleges and Schools The Higher Learning Commission
Arkansas College of Barbering and Hair Design,North Little Rock,AR,72114,3,34.7536,-92.2663,NULL,NULL,NULL,NULL,9812,134,0.0522,0.9478,0,0,0,0,Accrediting Commission of Career Schools and Colleges
Arthur's Beauty College Inc-Fort Smith,Fort Smith,AR,72901-3342,3,35.38,-94.411,NULL,NULL,NULL,NULL,6800,50,0.54,0.16,0.08,0.08,0.08,0,National Accrediting Commission of Career Arts and Sciences
University of Arkansas,Fayetteville,AR,72701,1,36.0615,-94.1782,0.5858,1156,19917,0.821,14990,20776,0.7874,0.0492,0.0644,0.0237,0.012,0.0007,North Central Association of Colleges and Schools The Higher Learning Commission
University of Arkansas at Pine Bluff,Pine Bluff,AR,71601,1,34.2422,-92.0213,0.277,842,15414,0.5621,13698.5,2503,0.0416,0.9301,0.012,0.0024,0.0016,0,North Central Association of Colleges and Schools The Higher Learning Commission
Arkansas State University-Beebe,Beebe,AR,72012-1000,1,35.0745,-91.8962,NULL,NULL,11558,NULL,5250,3217,0.8399,0.0472,0.0438,0.0087,0.0034,0.0016,North Central Association of Colleges and Schools The Higher Learning Commission
Arkansas State University-Main Campus,Jonesboro,AR,72401,1,35.8428,-90.6805,0.7551,1088,18809,0.7312,13300,9325,0.7302,0.1466,0.0203,0.0075,0.0039,0.0006,North Central Association of Colleges and Schools The Higher Learning Commission
Arkansas Tech University,Russellville,AR,72801-2222,1,35.2952,-93.1323,0.8503,1008,16126,0.6937,10043,8734,0.7901,0.0781,0.0503,0.0129,0.0124,0.0005,North Central Association of Colleges and Schools The Higher Learning Commission | Council on Occupational Education
University of Arkansas at Monticello,Monticello,AR,71656,1,33.5898,-91.813,NULL,NULL,16255,0.424,8250,3024,0.5893,0.336,0.0344,0.0023,0.003,0.001,Council on Occupational Education | North Central Association of Colleges and Schools The Higher Learning Commission
Arthur's Beauty College Inc-Jacksonville,Jacksonville,AR,72076,3,34.8918,-92.1023,NULL,NULL,NULL,NULL,9500,64,0.7969,0.1563,0.0156,0,0,0,National Accrediting Commission of Career Arts and Sciences
Baptist Health Schools-Little Rock,Little Rock,AR,72210-2820,2,34.7131,-92.4069,0.8615,970,18846,NULL,11862.5,918,0.7669,0.171,0.0174,0.0131,0.0076,0.0011,Accrediting Bureau of Health Education Schools
Black River Technical College,Pocahontas,AR,72455,1,36.2398,-90.951,NULL,NULL,11401,NULL,7698,1894,0.9335,0.0338,0.0185,0.0037,0.0037,0,North Central Association of Colleges and Schools The Higher Learning Commission
University of Central Arkansas,Conway,AR,72035-0001,1,35.0782,-92.4593,0.8997,1070,17899,0.6977,11864,9261,0.6656,0.1867,0.0361,0.0146,0.0057,0.0011,North Central Association of Colleges and Schools The Higher Learning Commission
Central Baptist College,Conway,AR,72034,2,35.0846,-92.4441,0.5407,974,20386,0.6731,10828,769,0.7035,0.2211,0.0221,0.0013,0.0091,0.0013,North Central Association of Colleges and Schools The Higher Learning Commission
Cossatot Community College of the University of Arkansas,De Queen,AR,71832,1,34.0434,-94.3673,NULL,NULL,11753,NULL,NULL,1129,0.6785,0.1107,0.1585,0.0062,0.0239,0.0009,North Central Association of Colleges and Schools The Higher Learning Commission
Crowley's Ridge College,Paragould,AR,72450,2,36.0662,-90.5848,NULL,NULL,18790,0.6613,7848,153,0.9216,0.0523,0.0196,0,0.0065,0,North Central Association of Colleges and Schools The Higher Learning Commission
Crowley's Ridge Technical Institute,Forrest City,AR,72335-0925,1,35.0419,-90.7678,NULL,NULL,8644,NULL,NULL,286,0.3392,0.6294,0.007,0,0.0105,0.0035,Council on Occupational Education
East Arkansas Community College,Forrest City,AR,72335-2204,1,35.0397,-90.7674,NULL,NULL,8767,NULL,2250,922,0.5043,0.4599,0.0174,0.0087,0.0054,0,North Central Association of Colleges and Schools The Higher Learning Commission
Eastern College of Health Vocations-Little Rock,Little Rock,AR,72205,3,34.7511,-92.3412,NULL,NULL,NULL,NULL,3848.5,302,0.1821,0.7815,0.0364,0,0,0,Accrediting Bureau of Health Education Schools
Imagine-Paul Mitchell Partner School,North Little Rock,AR,72117,3,34.7913,-92.2213,NULL,NULL,NULL,NULL,9833,482,0.6971,0.222,0.0456,0.0104,0.0083,0.0021,National Accrediting Commission of Career Arts and Sciences
National Park Community College,Hot Springs,AR,71913,1,34.5127,-93.1171,NULL,NULL,13836,NULL,10500,2445,0.798,0.1141,0.0573,0.0098,0.0139,0,Council on Occupational Education | North Central Association of Colleges and Schools The Higher Learning Commission
University of Arkansas Community College-Batesville,Batesville,AR,72503-3350,1,35.7929,-91.6161,NULL,NULL,7631,NULL,7900,1090,0.8468,0.0367,0.0514,0.0083,0.0092,0.0018,North Central Association of Colleges and Schools The Higher Learning Commission
Harding University,Searcy,AR,72143,2,35.2496,-91.729,0.7628,1139,25475,0.8234,19801.5,4428,0.8347,0.0379,0.0294,0.0068,0.0079,0.0007,North Central Association of Colleges and Schools The Higher Learning Commission
Henderson State University,Arkadelphia,AR,71999-0001,1,34.1278,-93.0603,0.6221,1011,18033,0.5716,10443,3190,0.6583,0.2367,0.0348,0.0066,0.0025,0,North Central Association of Colleges and Schools The Higher Learning Commission
Hendrix College,Conway,AR,72032-3080,2,35.0997,-92.442,0.8039,1267,50172,0.878,19500,1428,0.7143,0.0448,0.0469,0.0518,0.0217,0,North Central Association of Colleges and Schools The Higher Learning Commission
Hot Springs Beauty College,Hot Springs,AR,71901,3,34.4963,-93.0384,NULL,NULL,NULL,NULL,4000,43,0.9302,0.0465,0.0233,0,0,0,National Accrediting Commission of Career Arts and Sciences
Jefferson Regional Medical Center School of Nursing,Pine Bluff,AR,71603,2,34.1878,-92.018,NULL,NULL,NULL,NULL,15521,76,0.8421,0.1447,0.0132,0,0,0,Accrediting Bureau of Health Education Schools
John Brown University,Siloam Springs,AR,72761,2,36.1911,-94.5591,0.6982,1144,33326,0.8239,17900,1770,0.8017,0.0209,0.0525,0.009,0.0119,0.0006,North Central Association of Colleges and Schools The Higher Learning Commission
Lees School of Cosmetology,North Little Rock,AR,72114-3800,3,34.782,-92.2967,NULL,NULL,NULL,NULL,PrivacySuppressed,27,0.7778,0.1111,0.1111,0,0,0,National Accrediting Commission of Career Arts and Sciences
Career Academy of Hair Design,Springdale,AR,72764-7128,3,36.1676,-94.1318,NULL,NULL,NULL,NULL,6365,364,0.7033,0.0549,0.2088,0.0192,0.011,0,National Accrediting Commission of Career Arts and Sciences
Marsha Kay Beauty College,Mountain Home,AR,72653-3164,3,36.3447,-92.386,NULL,NULL,NULL,NULL,NULL,15,1,0,0,0,0,0,National Accrediting Commission of Career Arts and Sciences
Academy of Salon and Spa,Fort Smith,AR,72901,3,35.3809,-94.4163,NULL,NULL,NULL,NULL,6333,75,0.7867,0.0133,0.08,0.04,0.08,0,National Accrediting Commission of Career Arts and Sciences
Mid-South Community College,West Memphis,AR,72301-3829,1,35.1457,-90.2229,NULL,NULL,13105,NULL,NULL,1263,0.3721,0.5574,0.0016,0.0063,0.0024,0.0016,North Central Association of Colleges and Schools The Higher Learning Commission
Arkansas Northeastern College,Blytheville,AR,72316-1109,1,35.8974,-89.9225,NULL,NULL,12538,NULL,3619,1141,0.6512,0.2717,0.0473,0.0018,0.0009,0,North Central Association of Colleges and Schools The Higher Learning Commission
Margaret's Hair Academy Inc,Monticello,AR,71655,3,33.6292,-91.7887,NULL,NULL,NULL,NULL,PrivacySuppressed,65,0.5846,0.3077,0.0769,0.0154,0,0,National Accrediting Commission of Career Arts and Sciences
New Tyler Barber College Inc,North Little Rock,AR,72114-4973,3,34.7591,-92.2541,NULL,NULL,NULL,NULL,9500,79,0,1,0,0,0,0,Accrediting Commission of Career Schools and Colleges
North Arkansas College,Harrison,AR,72601-5508,1,36.2205,-93.0873,NULL,NULL,9463,NULL,9312,1885,0.9082,0.0005,0.0472,0.0021,0.0048,0.0005,North Central Association of Colleges and Schools The Higher Learning Commission
Northwest Technical Institute,Springdale,AR,72764,1,36.1786,-94.1164,NULL,NULL,8855,NULL,NULL,252,0.7381,0.0238,0.1865,0.0357,0.0079,0.0079,Council on Occupational Education
Ouachita Baptist University,Arkadelphia,AR,71998-0001,2,34.125,-93.0524,0.7011,1090,31473,0.7631,15000,1513,0.8434,0.08,0.039,0.0106,0.0066,0.0013,North Central Association of Colleges and Schools The Higher Learning Commission
College of the Ouachitas,Malvern,AR,72104-0816,1,34.3787,-92.8214,NULL,NULL,12215,NULL,6804,817,0.7576,0.1652,0.0318,0.0037,0.0049,0.0012,North Central Association of Colleges and Schools The Higher Learning Commission
Ozarka College,Melbourne,AR,72556-0010,1,36.053,-91.8964,NULL,NULL,11364,NULL,9500,1226,0.969,0.0041,0.0139,0.0024,0.0065,0.0008,North Central Association of Colleges and Schools The Higher Learning Commission
University of the Ozarks,Clarksville,AR,72830,2,35.4778,-93.4679,0.6136,1057,34532,0.6943,12349.5,568,0.6831,0.0546,0.0915,0,0.0088,0.0018,North Central Association of Colleges and Schools The Higher Learning Commission
University of Arkansas Community College-Morrilton,Morrilton,AR,72110,1,35.1721,-92.7285,0.5838,930,11593,NULL,5500,2077,0.7607,0.0968,0.0067,0.0082,0.0043,0.0005,North Central Association of Colleges and Schools The Higher Learning Commission
Philander Smith College,Little Rock,AR,72202-3799,2,34.7367,-92.2824,NULL,NULL,24877,0.5432,19000,554,0.0072,0.8935,0.0036,0.0036,0,0.0018,North Central Association of Colleges and Schools The Higher Learning Commission
Phillips Community College of the University of Arkansas,Helena,AR,72342-0785,1,34.545,-90.6177,NULL,NULL,16140,NULL,4500,986,0.4493,0.5284,0.0132,0.0061,0.003,0,North Central Association of Colleges and Schools The Higher Learning Commission
Southeast Arkansas College,Pine Bluff,AR,71603,1,34.2098,-92.0247,NULL,NULL,9672,NULL,4633,1415,0.3618,0.617,0.0099,0.0057,0.0057,0,North Central Association of Colleges and Schools The Higher Learning Commission
Professional Cosmetology Education Center,El Dorado,AR,71730-4009,3,33.2151,-92.6631,NULL,NULL,NULL,NULL,8456,50,0.62,0.34,0.02,0,0.02,0,National Accrediting Commission of Career Arts and Sciences
Pulaski Technical College,North Little Rock,AR,72118-3347,1,34.7824,-92.2997,NULL,NULL,17064,NULL,13727,9480,0.3814,0.5315,0.034,0.0129,0.0035,0.0007,North Central Association of Colleges and Schools The Higher Learning Commission
University of Arkansas Community College-Hope,Hope,AR,71801,1,33.6479,-93.5845,NULL,NULL,14349,NULL,3500,1157,0.5177,0.3768,0.0622,0.0052,0.0086,0.0009,North Central Association of Colleges and Schools The Higher Learning Commission
Rich Mountain Community College,Mena,AR,71953,1,34.5908,-94.2197,NULL,NULL,10415,NULL,NULL,553,0.8788,0.0036,0.0398,0.0127,0.0271,0.0036,North Central Association of Colleges and Schools The Higher Learning Commission
Paul Mitchell the School-Arkansas,Fayetteville,AR,72703,3,36.0787,-94.1565,NULL,NULL,NULL,NULL,9780,96,0.8333,0.0417,0.0729,0.0521,0,0,National Accrediting Commission of Career Arts and Sciences
Searcy Beauty College Inc,Searcy,AR,72143,3,35.2377,-91.7345,NULL,NULL,NULL,NULL,6333,104,0.8077,0.1538,0.0288,0.0096,0,0,National Accrediting Commission of Career Arts and Sciences
Shorter College,N Little Rock,AR,72114,2,NULL,NULL,NULL,NULL,7500,NULL,8453,330,0.0091,0.9909,0,0,0,0,Transnational Association of Christian Colleges and Schools Accreditation Commission
Williams Baptist College,Walnut Ridge,AR,72476,2,36.1268,-90.9399,0.6798,1001,22330,0.5878,10000,501,0.8802,0.0659,0.02,0,0.008,0,North Central Association of Colleges and Schools The Higher Learning Commission
South Arkansas Community College,El Dorado,AR,71731-7010,1,33.2094,-92.6661,NULL,NULL,17675,NULL,9000,1306,0.5023,0.4571,0.0291,0.0038,0,0,North Central Association of Colleges and Schools The Higher Learning Commission
Southern Arkansas University Main Campus,Magnolia,AR,71753,1,33.2912,-93.2351,0.6081,989,17738,0.6433,10500,2640,0.6432,0.283,0.0216,0.0072,0.0057,0.0072,North Central Association of Colleges and Schools The Higher Learning Commission
Southern Arkansas University Tech,Camden,AR,71701-1906,1,33.6039,-92.839,NULL,NULL,16258,NULL,4878.5,894,0.5861,0.3546,0.0213,0.0011,0.0056,0,North Central Association of Colleges and Schools The Higher Learning Commission
Velvatex College of Beauty Culture,Little Rock,AR,72202-5452,3,34.7357,-92.2898,NULL,NULL,NULL,NULL,NULL,25,0,1,0,0,0,0,National Accrediting Commission of Career Arts and Sciences
University of Arkansas-Fort Smith,Fort Smith,AR,72913-3649,1,35.3853,-94.3741,0.5736,1028,14335,0.6217,8240,6508,0.7409,0.0458,0.0748,0.0444,0.0307,0.0006,North Central Association of Colleges and Schools The Higher Learning Commission
Academy of Art University,San Francisco,CA,94105,3,37.7877,-122.4007,NULL,NULL,34512,0.71,16500,10300,0.2625,0.0667,0.1042,0.0781,0.005,0.004,Accrediting Council for Independent Colleges and Schools | Western Association of Schools and Colleges Senior College and University Commission
ITT Technical Institute-Rancho Cordova,Rancho Cordova,CA,95670-6034,3,38.5917,-121.2815,0.3845,NULL,26209,NULL,14656.5,510,0.5098,0.1059,0.1039,0.0588,0.0157,0.0078,NULL
Academy of Chinese Culture and Health Sciences,Oakland,CA,94612,2,37.8067,-122.2727,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Accreditation Commission for Acupuncture and Oriental Medicine
The Academy of Radio and TV Broadcasting,Huntington Beach,CA,92647,3,33.7289,-117.9877,NULL,NULL,NULL,NULL,9200,44,0.4773,0.3182,0.2045,0,0,0,Accrediting Council for Continuing Education and Training
Avalon School of Cosmetology-Alameda,Alameda,CA,94501,3,37.7642,-122.2436,NULL,NULL,NULL,NULL,6333,186,0.129,0.4946,0.2688,0.0538,0.0054,0,National Accrediting Commission of Career Arts and Sciences
College of Alameda,Alameda,CA,94501,1,37.7824,-122.2793,NULL,NULL,10251,NULL,7500,5147,0.1463,0.2174,0.2024,0.2856,0.0023,0.0056,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges
Allan Hancock College,Santa Maria,CA,93454-6399,1,34.943,-120.4215,NULL,NULL,10735,NULL,7000,9692,0.3839,0.0287,0.5028,0.0405,0.0059,0.0045,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges
American Academy of Dramatic Arts-Los Angeles,Los Angeles,CA,90028,2,34.0953,-118.3441,0.1479,NULL,51197,NULL,9500,258,0.4612,0.0775,0.1512,0.0116,0.0233,0.0039,NULL
American Baptist Seminary of the West,Berkeley,CA,94704-3029,2,37.8653,-122.2561,NULL,NULL,NULL,NULL,11830,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Commission on Accrediting of the Association of Theological Schools
American Film Institute Conservatory,Los Angeles,CA,90027-1625,2,34.1085,-118.31,NULL,NULL,NULL,NULL,PrivacySuppressed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,National Association of Schools of Art and Design Commission on Accreditation | Western Association of Schools and Colleges Senior College and University Commission
American Beauty College,West Covina,CA,91790,3,33.8844,-118.125,NULL,NULL,NULL,NULL,3500,45,0.0222,0,0.9778,0,0,0,National Accrediting Commission of Career Arts and Sciences
American Career College-Los Angeles,Los Angeles,CA,90004,3,34.0792,-118.2923,NULL,NULL,NULL,NULL,9500,1770,0.0554,0.1638,0.6412,0.0712,0.0051,0.0136,Accrediting Bureau of Health Education Schools | Accrediting Commission of Career Schools and Colleges
American Conservatory Theater,San Francisco,CA,94108-5834,2,37.7873,-122.4049,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,Western Association of Schools and Colleges Senior College and University Commission
American River College,Sacramento,CA,95841-4286,1,38.6497,-121.346,NULL,NULL,12311,NULL,8435,27332,0.4786,0.1027,0.1933,0.1024,0.0083,0.0088,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges
Everest College-Hayward,Hayward,CA,94541,3,37.6754,-122.0848,NULL,NULL,NULL,NULL,9500,170,0.0765,0.3647,0.3706,0.0765,0,0.0471,Accrediting Commission of Career Schools and Colleges
Antelope Valley College,Lancaster,CA,93536-5426,1,34.6762,-118.1862,NULL,NULL,11430,NULL,9500,12416,0.248,0.2138,0.4361,0.0331,0.0036,0.0012,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges
Art Center College of Design,Pasadena,CA,91103,2,34.1708,-118.1869,0.8167,NULL,56400,0.8038,31000,1742,0.2153,0.0115,0.1051,0.3456,0.0011,0.0034,Western Association of Schools and Colleges Senior College and University Commission
Associated Technical College-Los Angeles,Los Angeles,CA,90017-1604,3,34.056,-118.2724,NULL,NULL,NULL,NULL,8963,404,0.0569,0.3416,0.5396,0.0272,0.0025,0,Accrediting Commission of Career Schools and Colleges
Associated Technical College-San Diego,San Diego,CA,92101,3,32.7157,-117.1582,NULL,NULL,NULL,NULL,8150,110,0.1636,0.3818,0.4273,0.0091,0,0.0091,Accrediting Commission of Career Schools and Colleges
Azusa Pacific University,Azusa,CA,91702-7000,2,34.1309,-117.888,0.7985,1098,44021,0.8228,19000,6543,0.4966,0.0474,0.2306,0.0827,0.0035,0.0079,Western Association of Schools and Colleges Senior College and University Commission
